	index	hp.lr	hp.model_width	hp.model_depth	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_sum_of_fro	complexity.param_norm	complexity.path_norm	complexity.params	complexity.log_prod_of_spec	complexity.log_sum_of_spec	complexity.fro_dist	complexity.fro_over_spec	complexity.dist_spec_init	complexity.pacbayes_orig	complexity.pacbayes_init	complexity.pacbayes_flatness	complexity.pacbayes_mag_orig	complexity.pacbayes_mag_init	complexity.pacbayes_mag_flatness	complexity.inverse_margin	complexity.log_prod_of_fro_over_margin	complexity.log_sum_of_fro_over_margin	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_spec_over_margin	complexity.path_norm_over_margin	experiment_id	cross_entropy	data_seed	seed	train_dataset_size	epoch	gen.gap	gen.val_acc	gen.train_acc	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
1	1	0.01	14	3	90.85829162597656	48.35993194580078	114.78564453125	25.739282608032227	8255.2294921875	45.42034149169922	2962430	39.5414924621582	21.977073669433594	2338.682861328125	1496.477294921875	31.856895446777344	132105.1875	37440.44140625	64.0	3905318.75	2973772.75	4.998836994171143	0.04874748736619949	111.76454162597656	25.588226318359375	36.520389556884766	21.826019287109375	2.214127540588379	-5125843615822465566	0.009912420654296875	42	1	12500	15	0.3583200000000001	0.6416	0.99992	1590114333347951432	True	True	True
3	3	0.00631	16	4	105.5481948852539	49.808677673339844	151.3931884765625	31.82281494140625	11140.423828125	22.81338882446289	5629230	50.42024230957031	27.939239501953125	2480.90380859375	2244.77197265625	32.6673583984375	167629.078125	37346.67578125	60.17998123168945	7291750.0	5183618.0	3.9078726768493652	0.04153876006603241	148.21206665039062	31.700464248657227	47.239112854003906	27.8168888092041	0.9476399421691895	-8735883835984416639	0.00993160400390625	42	0	12500	18	0.3437	0.6555	0.9992	1590114390440215274	True	True	True
5	5	0.01	8	4	72.92640686035156	38.16444778442383	134.23583984375	31.162918090820312	5318.26025390625	25.66801643371582	1414630	46.26824188232422	27.77954864501953	1456.52490234375	1123.95849609375	33.18206787109375	71151.53125	19502.0	53.498775482177734	1747432.625	1291177.5	4.551111221313477	0.04499828442931175	131.13470458984375	31.043642044067383	43.167110443115234	27.660274505615234	1.1550166606903076	-2972983487453045749	0.009808198699951172	42	2	12500	22	0.35261999999999993	0.6469	0.99952	1590114296391574496	True	True	True
6	6	0.01	12	6	95.70148468017578	46.50786209106445	201.38845825195312	43.29969787597656	9158.775390625	7.048024654388428	5157330	71.26872253417969	39.875492095947266	2162.9814453125	1561.1229248046875	50.12857437133789	126093.578125	29795.25390625	55.06070327758789	6469259.5	4614239.0	4.0	0.03763687610626221	198.1086883544922	43.21338653564453	67.98895263671875	39.7891845703125	0.2652656137943268	-2784644901043528648	0.008344007568359376	42	2	12500	64	0.36152000000000006	0.6376	0.99912	1590115010842999698	True	True	True
8	8	0.001585	12	2	91.95104217529297	62.12063217163086	84.33206176757812	20.023719787597656	8454.9921875	1040.4371337890625	1186530	29.500320434570312	16.107166290283203	3858.97314453125	1533.541748046875	35.80216979980469	159201.859375	72673.609375	75.30709838867188	1608362.75	1376452.625	11.65084457397461	0.03817274421453476	81.0664291381836	19.79045867919922	26.23468780517578	15.873906135559082	39.71634292602539	-10688740159849512	0.009969300842285157	42	1	12500	58	0.37239999999999995	0.6276	1.0	1590115174508061503	True	True	True
9	9	0.001	16	4	123.69766235351562	65.2604751586914	158.70872497558594	32.104183197021484	15301.1142578125	443.5109558105469	5629230	51.24467468261719	27.970949172973633	4258.9287109375	3675.385009765625	30.386667251586914	319783.65625	89024.5859375	83.59183502197266	7182208.5	5386592.5	5.224489688873291	0.036208949983119965	155.39027404785156	31.97654914855957	47.92622375488281	27.84331703186035	16.059066772460938	5812349128615729751	0.009423058166503906	42	2	12500	22	0.41369999999999996	0.5863	1.0	1590116045170016864	True	True	True
12	12	0.003162	14	4	106.16172790527344	52.90285110473633	151.9517822265625	31.84429931640625	11270.314453125	87.29776000976562	4313080	49.789276123046875	27.91497230529785	2798.71142578125	2543.67041015625	31.157123565673828	186116.578125	46233.765625	66.0478744506836	5670432.5	4172330.0	4.2622270584106445	0.03952767699956894	148.7210235595703	31.72003936767578	46.55852127075195	27.790712356567383	3.4506776332855225	549308750305819387	0.00865787567138672	42	2	12500	19	0.3620399999999999	0.6378	0.99984	1590115096007674433	True	True	True
17	17	0.001	14	6	127.57395935058594	61.05494689941406	224.1833038330078	43.899559020996094	16275.1162109375	80.7115707397461	7014380	72.79656219482422	39.91569900512695	3727.706787109375	3854.333740234375	41.96638488769531	277494.46875	63574.87109375	68.19563293457031	8855423.0	6277630.5	4.589275360107422	0.0303230881690979	220.6874542236328	43.80756378173828	69.30072021484375	39.82370376586914	2.4474239349365234	-8848986184548619366	0.008870219268798827	42	4	12500	88	0.39480000000000004	0.6052	1.0	1590167335869234251	True	True	True
18	18	0.00631	12	3	88.16263580322266	48.07841491699219	114.08446502685547	25.7042236328125	7772.65087890625	102.17190551757812	2179230	38.709468841552734	21.935474395751953	2311.533935546875	1580.640380859375	30.229772567749023	124383.921875	37006.0546875	64.0	2909597.75	2250861.25	6.001327991485596	0.04653891175985336	111.01699829101562	25.55084991455078	35.64200210571289	21.782100677490234	4.754969120025635	1509510996435988000	0.009624290771484375	42	0	12500	16	0.3589399999999999	0.6409	0.99984	1590114389655529124	True	True	True
19	19	0.003162	16	4	113.91859436035156	56.760902404785156	155.05575561523438	31.96368408203125	12977.447265625	80.53669738769531	5629230	50.6025390625	27.946250915527344	3221.7998046875	2880.16455078125	31.542118072509766	214304.71875	53219.7890625	66.0478744506836	7423397.0	5467476.0	4.228060722351074	0.03915635868906975	151.81556701660156	31.839059829711914	47.36234664916992	27.82162857055664	3.1535239219665527	-3898319721660655299	0.008869374084472656	42	4	12500	18	0.35556	0.6442	0.99976	1590115616241274233	True	True	True
